Nr	dstr	Begin Time	End Time	Duration	
1	PRL	3511	3650	139	
2	PRL	5091	5240	149	
3	LFP	13456	13947	491	
4	LFP	14690	15084	394	
5	LFP	15982	16387	405	
6	PRL	17796	17968	172	
7	SP	18862	19092	230	
8	FP	19092	19257	165	
9	PRL	19837	20071	234	
10	REP	20071	20480	409	
11	SP	21410	21589	179	
12	FP	21589	22161	572	
13	PRL	24295	24524	229	
14	LFP	26130	26460	330	
15	PRL	26869	27118	249	
16	FP	27118	27508	390	
17	FP	31330	32407	1077	
18	SP	32839	33360	521	
19	FP	42248	43080	832	
20	FP	43780	44425	645	
21	WF	45526	45580	54	
22	INS	45580	45760	180	
23	REP	45760	45940	180	
24	PRL	47299	47520	221	
25	SUB	47520	48151	631	
26	PRL	51988	52480	492	
27	FP	52480	52811	331	
28	PRL	57198	57423	225	
29	LFP	59060	59542	482	
30	FP	65401	65698	297	
31	PRL	69468	69820	352	
32	WF	75000	75302	302	
33	SUB	75302	76121	819	
34	FP	77461	78138	677	
35	SP	79170	79733	563	
36	SP	82177	82730	553	
37	LFP	87283	87640	357	
38	SP	87640	87800	160	
39	LFP	87800	88090	290	
40	PRL	88986	89164	178	
41	SP	89164	89291	127	
42	FP	91580	92521	941	
43	LFP	93190	94063	873	
44	FP	94562	94947	385	
45	PRL	99212	99417	205	
46	SUB	102353	103585	1232	
47	FP	107902	108024	122	
48	PRL	108691	109020	329	
49	REP	109020	109590	570	
50	FP	114480	114770	290	
51	LFP	115104	115693	589	
52	PRL	115693	116330	637	
53	SP	116330	116870	540	
54	LFP	122860	123250	390	
55	FP	130452	131258	806	
56	LFP	131258	131958	700	
57	FP	131958	133328	1370	
58	LFP	135090	135392	302	
59	REP	136020	136460	440	
60	INS	136460	136780	320	
61	SP	136780	137459	679	
62	SP	144826	144990	164	
63	SP	145289	145880	591	
64	PRL	147673	148025	352	
65	LFP	151907	152400	493	
66	FP	156470	157009	539	
67	LFP	157009	157810	801	
68	SP	157810	158010	200	
69	FP	158010	158269	259	
70	SP	161240	161552	312	
71	PRL	177058	177590	532	
72	SP	178182	178552	370	
73	FP	182279	182740	461	
74	LFP	188988	189430	442	
75	FP	192165	192334	169	
76	INS	194367	194555	188	
77	REP	194555	195240	685	
78	FP	196563	196710	147	
79	PRL	197905	198080	175	
80	FP	204170	205879	1709	
81	SP	205879	206288	409	
82	FP	206533	207198	665	
83	LFP	207198	207601	403	
84	FP	207601	208247	646	
85	DEL	208247	208693	446	
86	PRL	208693	209725	1032	
87	LFP	210960	211500	540	
88	LFP	214035	214690	655	
89	FP	221474	221911	437	
90	WF	233610	233810	200	
91	REP	233810	234171	361	
92	SUB	234171	234661	490	
93	PRL	234661	234880	219	
94	LFP	242352	243109	757	
95	LFP	245830	246160	330	
96	FP	250243	251041	798	
97	PRL	258909	259130	221	
98	SUB	259490	260990	1500	
99	FP	261276	262070	794	
100	SP	262070	262668	598	
101	LFP	271373	271790	417	
102	SP	271790	272000	210	
103	FP	277009	277508	499	
104	LFP	277508	277900	392	
105	DEL	281215	281434	219	
106	PRL	281434	281717	283	
107		281717	282352	635	
108	LFP	283380	283730	350	
109	SP	287979	288224	245	
110	FP	288224	288520	296	
111	LFP	292690	293063	373	
112	SP	293063	293590	527	
113	FP	301260	301780	520	
114	SP	302459	302747	288	
115	FP	304262	304590	328	
116	FP	306082	306858	776	
117	LFP	312419	312709	290	
118	PRL	312709	312930	221	
119	FP	316713	317044	331	
120	SP	322670	322880	210	
121	LFP	322880	323227	347	
122	SP	330260	330910	650	
123	FP	333880	335106	1226	
124	INS	335596	336215	619	
125	REP	336215	336460	245	
126	SUB	350020	351110	1090	
127	FP	364673	365353	680	
128	SUB	365480	366452	972	
129	PRL	368626	368628	2	
130	PRL	368628	368732	104	
131	REP	368944	369258	314	
132	PRL	372701	373022	321	
133	PRL	373452	373750	298	
134	LFP	373750	374279	529	
135	PRL	375926	376161	235	
136	SUB	376161	376370	209	
137	FP	378120	379453	1333	
138	DEL	379453	379760	307	
139	REP	379971	380230	259	
140	LFP	381430	381728	298	
141	FP	382463	383635	1172	
142	FP	389767	390201	434	
143	PRL	390590	391120	530	
144	FP	391120	391558	438	
145	PRL	415850	416256	406	
146	SP	416256	416660	404	
147	SUB	416660	417380	720	
148	SP	419233	419398	165	
149	LFP	419398	419700	302	
150	FP	423761	424610	849	
151	LFP	424610	425210	600	
152	PRL	425210	425340	130	
153	FP	425520	427062	1542	
154	REP	427062	427290	228	
155	PRL	434087	434554	467	
156	REP	434554	434698	144	
157	FP	440975	441596	621	
158		441596	442400	804	
159	SP	442560	442930	370	
160	REP	442930	443060	130	
161	FP	445120	445772	652	
162	SP	454240	454677	437	
163	FP	454999	455380	381	
164	PRL	455617	456067	450	
165	SUB	456067	456300	233	
166	SUB	458320	458426	106	
167	PRL	458856	459059	203	
168	PRL	460949	461186	237	
169	REP	461188	461370	182	
170	FP	466496	466833	337	
171	DEL	469257	470100	843	
172	LFP	470100	470415	315	
173	PRL	471900	472184	284	
174	SP	472184	472990	806	
175	REP	472990	473310	320	
176	SUB	473310	473860	550	
177	LFP	473860	474323	463	
178	FP	475133	475637	504	
179	PRL	482753	482963	210	
180	REP	482963	483580	617	
181	FP	486582	487020	438	
182	FP	489560	490879	1319	
183	SP	490879	491033	154	
184	FP	494139	494560	421	
185	REP	498080	498753	673	
186	SP	499760	500298	538	
187	FP	500298	501046	748	
188	SP	501046	501282	236	
189	PRL	502215	502520	305	
190	SUB	502520	502631	111	
191	LFP	512510	513210	700	
192	SP	515774	516063	289	
193	PRL	516710	517262	552	
194	LFP	518919	519069	150	
195	FP	523026	524177	1151	
196	LFP	524177	524804	627	
197	FP	525016	525906	890	
198	FP	530583	530916	333	
199	INS	532869	533372	503	
200	SUB	533372	534291	919	
201	FP	536445	536784	339	
202	FP	537550	538069	519	
203	SP	539080	540014	934	
204	SP	542490	542640	150	
205	LFP	542640	543236	596	
206	FP	543700	544167	467	
207	FP	546113	546350	237	
208	SUB	546350	546910	560	
209	LFP	551700	552067	367	
210	PRL	552067	552370	303	
211	REP	552766	553110	344	
212	INS	553110	553417	307	
213	FP	554499	554751	252	
214	FP	556221	556620	399	
215	PRL	561073	561430	357	
216	PRL	567146	567350	204	
217	SP	567350	567508	158	
218	REP	567508	567720	212	
219	FP	569949	570433	484	
220	PRL	580871	581060	189	
221	LFP	589360	589760	400	
222	PRL	590023	590234	211	
223	REP	590234	590450	216	
224	PRL	596613	596811	198	
225	REP	596811	597020	209	
226	REP	597249	597437	188	
227	FP	600103	600775	672	
228	FP	608088	609140	1052	
